id,benutzer_id,asset_id,asset_typ,asset_name,daten,geloescht_am
11d784b8-bb9b-4b1b-a7bf-db5bcd24b0af,8f150246-9f43-457b-b677-d28fcc92bc1e,1db0c309-112c-4b5e-8924-1e51bcb96a89,festgeld,test,"{""bic"":""62892"",""iban"":""DE48959"",""notizen"":"""",""asset_id"":""1db0c309-112c-4b5e-8924-1e51bcb96a89"",""zinssatz"":3.5,""ist_aktiv"":true,""zinseszins"":true,""anlagedatum"":""2026-08-15"",""anlagesumme"":5000,""benutzer_id"":""8f150246-9f43-457b-b677-d28fcc92bc1e"",""erstellt_am"":""2026-08-15T21:51:45.953596"",""kontoinhaber"":""Marlon"",""gekuendigt_am"":null,""name_der_bank"":""test"",""referenzkonto"":"""",""zinsgutschrift"":""am_ende"",""laufzeit_monate"":12,""faelligkeitsdatum"":""2026-08-15"",""freistellungsauftrag"":1000,""automatische_verlaengerung"":true}",2026-08-16 11:14:32.25947+02
292e6631-d3db-4a1b-a067-9d25ec0d961d,8f150246-9f43-457b-b677-d28fcc92bc1e,dc9330a8-ae2b-49d6-b608-2fd3d300a092,tagesgeldkonto,test,"{""bic"":0,""iban"":""de4848"",""notizen"":"""",""asset_id"":""dc9330a8-ae2b-49d6-b608-2fd3d300a092"",""sparrate"":100,""sparziel"":100,""waehrung"":""EUR"",""zinssatz"":0,""ist_aktiv"":true,""aktionszins"":0,""benutzer_id"":""8f150246-9f43-457b-b677-d28fcc92bc1e"",""erstellt_am"":""2026-08-15T19:15:41.734967+02:00"",""notgroschen"":false,""kontoinhaber"":"""",""mindestbetrag"":0,""name_der_bank"":""test"",""referenzkonto"":"""",""zinsintervall"":""monatlich"",""eroeffnungsdatum"":""2026-08-15T00:00:00+02:00"",""einlagensicherung"":100000,""ist_referenzkonto"":false,""freistellungsauftrag"":0,""ablaufdatum_aktionszins"":null,""einzahlung_bei_eroeffnung"":0}",2026-08-15 21:15:47.719196+02
3d4f394e-2d58-4ef0-a9dc-373ec39887f3,8f150246-9f43-457b-b677-d28fcc92bc1e,2b65be30-682b-4412-81fe-fb8886e4f41f,festgeld,test,"{""bic"":""84984"",""iban"":""DE7887"",""notizen"":"""",""asset_id"":""2b65be30-682b-4412-81fe-fb8886e4f41f"",""zinssatz"":3.5,""ist_aktiv"":true,""zinseszins"":true,""anlagesumme"":500,""benutzer_id"":""8f150246-9f43-457b-b677-d28fcc92bc1e"",""erstellt_am"":""2026-08-16T11:31:12.053154"",""kontoinhaber"":""Marlon"",""gekuendigt_am"":null,""name_der_bank"":""test"",""referenzkonto"":""Girokonto (DE556456)"",""zinsgutschrift"":""am_ende"",""laufzeit_monate"":12,""eroeffnungsdatum"":""2026-08-16"",""faelligkeitsdatum"":""2026-08-16"",""freistellungsauftrag"":1000,""automatische_verlaengerung"":true}",2026-08-16 14:36:19.871188+02
7fef9bc3-c3da-4bc3-a61e-58b53215c5c4,8f150246-9f43-457b-b677-d28fcc92bc1e,8d924921-fffc-428b-bc78-b6b41be0545c,festgeld,test,"{""bic"":"""",""iban"":""DE559181"",""notizen"":"""",""asset_id"":""8d924921-fffc-428b-bc78-b6b41be0545c"",""zinssatz"":3.5,""ist_aktiv"":true,""zinseszins"":true,""benutzer_id"":""8f150246-9f43-457b-b677-d28fcc92bc1e"",""erstellt_am"":""2026-08-16T15:00:03.937354"",""kontoinhaber"":"""",""gekuendigt_am"":null,""name_der_bank"":""test"",""referenzkonto"":""Girokonto (DE556456)"",""zinsgutschrift"":""am_ende"",""laufzeit_monate"":12,""eroeffnungsdatum"":""2026-08-16"",""faelligkeitsdatum"":""2026-08-16"",""freistellungsauftrag"":0,""einzahlung_bei_eroeffnung"":50000,""automatische_verlaengerung"":false}",2026-08-16 15:03:54.180161+02
857b780a-3aad-419e-bac2-214d5e028420,8f150246-9f43-457b-b677-d28fcc92bc1e,9955f6de-0ca3-44df-adf3-cb6491939864,tagesgeldkonto,test,"{""bic"":4848,""iban"":""DE664894"",""notizen"":"""",""asset_id"":""9955f6de-0ca3-44df-adf3-cb6491939864"",""sparrate"":200,""sparziel"":5000,""waehrung"":""EUR"",""zinssatz"":0,""ist_aktiv"":true,""aktionszins"":0,""benutzer_id"":""8f150246-9f43-457b-b677-d28fcc92bc1e"",""erstellt_am"":""2026-08-09T09:02:48.932827+02:00"",""notgroschen"":false,""kontoinhaber"":"""",""mindestbetrag"":0,""name_der_bank"":""test"",""referenzkonto"":"""",""zinsintervall"":""monatlich"",""eroeffnungsdatum"":""2026-08-09T00:00:00+02:00"",""einlagensicherung"":100000,""ist_referenzkonto"":false,""freistellungsauftrag"":1000,""ablaufdatum_aktionszins"":null,""einzahlung_bei_eroeffnung"":1000}",2026-08-09 11:04:06.600862+02
b595ebb0-12c8-4542-8a43-5c384c7757dd,8f150246-9f43-457b-b677-d28fcc92bc1e,12476652-4666-4fbe-bba4-ebc8658aa5d8,tagesgeldkonto,test,"{""bic"":0,""iban"":""DE85484"",""notizen"":"""",""asset_id"":""12476652-4666-4fbe-bba4-ebc8658aa5d8"",""sparrate"":200,""sparziel"":100,""waehrung"":""EUR"",""zinssatz"":0,""ist_aktiv"":true,""aktionszins"":0,""benutzer_id"":""8f150246-9f43-457b-b677-d28fcc92bc1e"",""erstellt_am"":""2026-08-09T09:58:51.685665+02:00"",""notgroschen"":false,""kontoinhaber"":"""",""mindestbetrag"":0,""name_der_bank"":""test"",""referenzkonto"":"""",""zinsintervall"":""monatlich"",""eroeffnungsdatum"":""2026-08-09T00:00:00+02:00"",""einlagensicherung"":100000,""ist_referenzkonto"":false,""freistellungsauftrag"":0,""ablaufdatum_aktionszins"":null,""einzahlung_bei_eroeffnung"":0}",2026-08-09 12:12:21.390854+02
b9825d4d-40f4-4ce0-98ea-2dbbdd3bff49,8f150246-9f43-457b-b677-d28fcc92bc1e,92491682-a69d-460e-b5ac-75f22bddcb05,festgeld,Test,"{""bic"":"""",""iban"":""DE518981"",""notizen"":"""",""asset_id"":""92491682-a69d-460e-b5ac-75f22bddcb05"",""zinssatz"":3.5,""ist_aktiv"":true,""zinseszins"":true,""anlagesumme"":5000,""benutzer_id"":""8f150246-9f43-457b-b677-d28fcc92bc1e"",""erstellt_am"":""2026-08-16T14:36:51.325166"",""kontoinhaber"":"""",""gekuendigt_am"":null,""name_der_bank"":""Test"",""referenzkonto"":""Girokonto (DE556456)"",""zinsgutschrift"":""am_ende"",""laufzeit_monate"":12,""eroeffnungsdatum"":""2026-08-16"",""faelligkeitsdatum"":""2026-08-16"",""freistellungsauftrag"":1000,""automatische_verlaengerung"":true}",2026-08-16 14:51:45.248481+02
c432f547-6e76-48dd-a054-eb86a2eb0ce1,8f150246-9f43-457b-b677-d28fcc92bc1e,fe758493-e64a-4d01-b24f-bc7fc2f576d0,tagesgeldkonto,test1,"{""bic"":1000,""iban"":""DE156465"",""notizen"":"""",""asset_id"":""fe758493-e64a-4d01-b24f-bc7fc2f576d0"",""sparrate"":200,""sparziel"":100,""waehrung"":""EUR"",""zinssatz"":0,""ist_aktiv"":true,""aktionszins"":0,""benutzer_id"":""8f150246-9f43-457b-b677-d28fcc92bc1e"",""erstellt_am"":""2026-08-09T10:12:44.952774+02:00"",""notgroschen"":false,""kontoinhaber"":"""",""mindestbetrag"":0,""name_der_bank"":""test1"",""referenzkonto"":"""",""zinsintervall"":""monatlich"",""eroeffnungsdatum"":""2026-08-09T00:00:00+02:00"",""einlagensicherung"":100000,""ist_referenzkonto"":false,""freistellungsauftrag"":1000,""ablaufdatum_aktionszins"":null,""einzahlung_bei_eroeffnung"":0}",2026-08-09 12:32:24.458808+02
c8842f3d-74aa-41aa-95ee-7e9507b7bac1,8f150246-9f43-457b-b677-d28fcc92bc1e,65887832-6671-4991-8b0c-a5d8bc101450,girokonto,test,"{""bic"":"""",""iban"":""DE4848"",""notizen"":"""",""asset_id"":""65887832-6671-4991-8b0c-a5d8bc101450"",""waehrung"":""EUR"",""zinssatz"":0,""ist_aktiv"":true,""hauptkonto"":true,""benutzer_id"":""8f150246-9f43-457b-b677-d28fcc92bc1e"",""dispo_limit"":0,""elternkonto"":null,""erstellt_am"":""2026-08-09T10:57:19.557644+02:00"",""kontoinhaber"":"""",""name_der_bank"":""test"",""aktuelle_summe"":0,""aktualisiert_am"":""2026-08-09T10:57:19.557644+02:00"",""eroeffnungsdatum"":""2026-08-09"",""ist_referenzkonto"":true,""einzahlung_bei_eroeffnung"":1000}",2026-08-09 10:57:42.805772+02
e380235d-8c90-42c3-bbc3-18136a11b200,8f150246-9f43-457b-b677-d28fcc92bc1e,08e43c9c-8482-4e51-bb57-2805bc289ae8,festgeld,test,"{""bic"":"""",""iban"":""DE65894"",""notizen"":"""",""asset_id"":""08e43c9c-8482-4e51-bb57-2805bc289ae8"",""zinssatz"":3.5,""ist_aktiv"":true,""zinseszins"":true,""anlagesumme"":50000,""benutzer_id"":""8f150246-9f43-457b-b677-d28fcc92bc1e"",""erstellt_am"":""2026-08-16T14:55:19.051928"",""kontoinhaber"":"""",""gekuendigt_am"":null,""name_der_bank"":""test"",""referenzkonto"":""Girokonto (DE556456)"",""zinsgutschrift"":""am_ende"",""laufzeit_monate"":12,""eroeffnungsdatum"":""2026-08-16"",""faelligkeitsdatum"":""2026-08-16"",""freistellungsauftrag"":0,""automatische_verlaengerung"":false}",2026-08-16 14:58:06.059548+02
